관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
강원도 원주시청,강원도 원주시 문막읍 건등리 1704,14-Jan,30,1,127.8207245,"강원도 원주시 문막읍 건등로 28-11, (건등리)",37.3135109,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 503,14-Jan,30,1,127.9453583,"강원도 원주시 남원로527번길 8-14, (명륜동)",37.3328743,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 836-1,14-Jan,30,1,127.9408188,"강원도 원주시 남원로469번길 25-22, (명륜동)",37.3271103,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 851-2,14-Jan,30,1,127.944191,강원도 원주시 황소마을길 20,37.3305054,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1362-10,14-Jan,30,1,127.9505692,"강원도 원주시 북원로2718번길 29, (태장동)",37.3856239,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 821,14-Jan,30,1,127.9306259,"강원도 원주시 금불2길 16, (단계동)",37.3493996,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1528-13,14-Jan,30,1,127.9433136,"강원도 원주시 천매봉길 118-21, (단구동)",37.3245392,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1558-1,14-Jan,30,1,127.9436722,"강원도 원주시 천매봉길 26-8, (단구동)",37.3229637,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 397-25,14-Jan,30,1,127.956955,"강원도 원주시 행구로 10, (개운동)",37.3410683,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1579-2,14-Jan,30,1,127.9499283,"강원도 원주시 구곡길 10-33, (단구동)",37.323143,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 반곡관설동 1661-12,14-Jan,30,1,127.9627228,"강원도 원주시 나비허리길 118, (관설동)",37.3208961,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 403-17,14-Jan,30,1,127.9582672,"강원도 원주시 개운로 75, (개운동)",37.3392105,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 반곡관설동 1761-4,14-Apr,30,1,127.9594574,"강원도 원주시 치악고교길 15, (관설동)",37.3158455,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 268-14,14-Apr,30,1,127.9421997,"강원도 원주시 동진골2길 56, (일산동)",37.3482437,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1379-23,14-Apr,30,1,127.9485397,"강원도 원주시 북원상가길 13, (태장동)",37.3841667,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 183-2,14-Apr,30,1,127.9323273,강원도 원주시 원문로137번길 29,37.3536263,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜1동 90-15,14-Apr,30,1,127.9540176,"강원도 원주시 남산고개길 1, (명륜동)",37.3427582,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 903,14-Jan,30,1,127.9338379,강원도 원주시 이화4길 50-8,37.3412971,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1458-31,14-Apr,30,1,127.9549866,"강원도 원주시 송림길 78-52, (단구동)",37.3295746,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 790-16,14-Jan,30,1,127.9359894,"강원도 원주시 북원로2246번길 29, (단계동)",37.3454056,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 811,14-Apr,30,1,127.9325638,"강원도 원주시 평원초교길 32, (단계동)",37.3507538,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1515-1,14-Apr,30,1,127.9480057,"강원도 원주시 남원로534번길 14, (단구동)",37.3309631,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 판부면 서곡리 2011-2,14-Apr,30,1,127.949234,"강원도 원주시 판부면 오성마을길 61, (서곡리)",37.3196297,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 판부면 서곡리 1989-2,14-Apr,30,1,127.9425812,"강원도 원주시 판부면 매봉길 14, (서곡리)",37.3214073,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 248-8,14-Apr,30,1,127.9477921,"강원도 원주시 무실로55번길 11, (원동)",37.3455963,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 187-48,14-Apr,30,1,127.9426422,"강원도 원주시 동진골1길 39, (일산동)",37.3502922,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 중앙동 105-2,15-Jan,30,1,127.9506531,"강원도 원주시 중앙로 110-1, (중앙동)",37.3497238,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 중앙동 352-19,13-Jun,30,1,127.9540176,강원도 원주시 감영길 80,37.3495674,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 1189-6,13-Jun,30,1,127.9659195,"강원도 원주시 삼광1길 11, (봉산동)",37.3425026,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 154-266,15-Jan,30,1,127.9449539,"강원도 원주시 일산로36번길 46, (일산동)",37.3460846,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 170-2,15-Jan,30,1,127.951088,"강원도 원주시 일산로 71-18, (원동)",37.3469315,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 학성동 1026-1,15-Jan,30,1,127.9367752,"강원도 원주시 학성길 8, (학성동)",37.3560371,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 339-2,15-Jan,30,1,127.9408417,"강원도 원주시 단구로63번길 33, (일산동)",37.3450813,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 917-17,15-Jan,30,1,127.9616852,"강원도 원주시 우물시장길 43-12, (봉산동)",37.3452721,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 925-5,15-Jan,30,1,127.9635468,,37.3428001,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 837-4,15-Jan,30,1,127.941925,"강원도 원주시 남원로469번길 13-10, (명륜동)",37.3274612,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1358-2,15-Jan,30,1,127.9514771,"강원도 원주시 북원여중길 39, (태장동)",37.3864174,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 196-9,15-Jan,30,1,127.9362183,강원도 원주시 북원로2425번길 75,37.3639793,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 205-3,15-Jan,30,1,127.9351044,"강원도 원주시 북원로2507번길 67, (우산동)",37.3689995,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 240-4,15-Jan,30,1,127.9344559,"강원도 원주시 북원로2475번길 70, (우산동)",37.3663063,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 228-2,15-Jan,30,1,127.937851,"강원도 원주시 북원로2507번길 35, (우산동)",37.3685989,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 228-2,18-Mar,30,1,127.937851,"강원도 원주시 북원로2507번길 35, (우산동)",37.3685989,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 228-2,18-Mar,30,1,127.937851,"강원도 원주시 북원로2507번길 35, (우산동)",37.3685989,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 228-2,18-Mar,30,1,127.937851,"강원도 원주시 북원로2507번길 35, (우산동)",37.3685989,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 244-1,15-Jan,30,1,127.9374237,"강원도 원주시 북원로2475번길 36-7, (우산동)",37.3666954,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 89-4,15-Jan,30,1,127.9405594,"강원도 원주시 우산초교길 3, (우산동)",37.3670921,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 887,15-Jan,30,1,127.9322052,"강원도 원주시 이화6길 29, (단계동)",37.342289,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 931,14-Apr,30,1,127.9351501,"강원도 원주시 이화2길 13, (단계동)",37.3387299,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 1102-5,15-Jan,30,1,127.9257965,"강원도 원주시 백간공원길 11-5, (단계동)",37.3485985,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1397-13,15-Jan,30,1,127.9493256,"강원도 원주시 현충로318번길 15, (태장동)",37.3816757,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 학성동 311-38,15-Jan,30,1,127.9464722,"강원도 원주시 충정길 29, (학성동)",37.3537216,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 53-29,15-Jan,30,1,127.9487686,"강원도 원주시 무실로 13, (일산동)",37.3486137,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1523-15,15-Jan,30,1,127.9437103,"강원도 원주시 천매봉길 127, (단구동)",37.3265381,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1630-1,15-Jan,30,1,127.9566269,"강원도 원주시 단관길 67-26, (단구동)",37.3234444,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1475-1,15-Jan,30,1,127.9654846,"강원도 원주시 치악로1534번길 6, (단구동)",37.3214569,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 87-6,15-Jan,30,1,127.9640121,"강원도 원주시 치악로1570번길 26, (단구동)",37.3243065,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 402-29,15-Jan,30,1,127.9590302,"강원도 원주시 개운3길 23, (개운동)",37.3398552,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 반곡관설동 1687-7,11-Sep,30,1,127.9633484,"강원도 원주시 라옹정길 27, (관설동)",37.3192482,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 무실동 1669-2,14-Apr,30,1,127.923584,"강원도 원주시 섬밭들1길 32, (무실동)",37.3328438,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 무실동 1672-4,15-Jan,30,1,127.9221039,"강원도 원주시 섬밭들1길 26-22, (무실동)",37.3325043,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 무실동 1676-2,15-Jan,30,1,127.9213867,"강원도 원주시 섬밭들1길 8, (무실동)",37.3342018,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 판부면 서곡리 2013-7,15-Jan,30,1,127.9496002,"강원도 원주시 판부면 오성마을길 47-10, (서곡리)",37.3186302,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 95-14,15-Jan,30,1,127.9393387,"강원도 원주시 우무개로 9-16, (우산동)",37.363266,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 부론면 법천리 1540-1,15-Jan,30,1,127.7500076,"강원도 원주시 부론면 법천시장길 64, (법천리)",37.2071342,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 260-3,15-Jan,30,1,127.9337997,"강원도 원주시 북원로2507번길 82, (우산동)",37.3692284,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜1동 103-5,15-Jan,30,1,127.9543076,"강원도 원주시 남원로 662, (명륜동)",37.3417397,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 362,15-Jan,30,1,127.9486313,"강원도 원주시 무실로 35, (원동)",37.3472748,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장1동 808,15-Jan,30,1,127.9528122,"강원도 원주시 현충로 45, (태장동)",37.3602676,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 838-7,15-Jan,30,1,127.9306641,"강원도 원주시 천사로 45, (단계동)",37.3478203,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 407-10,15-Jan,30,1,127.9275589,"강원도 원주시 로아노크로 8, (단계동)",37.3440056,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 1119-4,15-Jan,30,1,127.9272156,"강원도 원주시 천사로 14-4, (단계동)",37.3471947,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 1201-2,15-Jan,30,1,127.9672241,"강원도 원주시 행구로 102, (봉산동, 동신아파트)",37.3417091,기타,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 834-8,15-Jan,30,1,127.9303665,"강원도 원주시 금불1길 38, (단계동)",37.3480797,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 855-2,15-Jan,30,1,127.9319916,"강원도 원주시 장미공원길 32, (단계동)",37.3471565,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 855-2,18-Mar,30,1,127.9319916,"강원도 원주시 장미공원길 32, (단계동)",37.3471565,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 855-2,18-Mar,30,1,127.9319916,"강원도 원주시 장미공원길 32, (단계동)",37.3471565,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 855-2,18-Mar,30,1,127.9319916,"강원도 원주시 장미공원길 32, (단계동)",37.3471565,생활방범,고정형,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 868-3,15-Jan,30,1,127.9302902,"강원도 원주시 장미공원길 71-12, (단계동)",37.3455925,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 883-10,15-Jan,30,1,127.9317474,"강원도 원주시 이화5길 1, (단계동)",37.3434906,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1026-21,15-Jan,30,1,127.9513397,"강원도 원주시 남원로534번길 52, (단구동)",37.3287926,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 142-22,15-Jan,30,1,127.9621277,"강원도 원주시 단사정길 17, (단구동)",37.3249588,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 반곡관설동 1654-4,15-Jan,30,1,127.9592438,강원도 원주시 단구로 395,37.3202553,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜1동 110-30,15-Jan,30,1,127.9514771,"강원도 원주시 향교길 89, (명륜동)",37.3409424,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜1동 308-3,15-Jan,30,1,127.9491577,"강원도 원주시 종각길 6-2, (명륜동)",37.3416824,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 문막읍 문막리 252,15-Jan,30,1,127.8162537,"강원도 원주시 문막읍 문막시장1길 44, (문막리)",37.3060455,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 중앙동 3,14-Apr,30,1,127.954422,강원도 원주시 풍물시장길 13,37.3487129,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 231-2,15-Jan,30,1,127.9387894,"강원도 원주시 우산초교길 21, (우산동)",37.3673935,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 295-1,15-Jan,30,1,127.937088,"강원도 원주시 우무개로 31, (우산동)",37.3649597,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 299-12,15-Jan,30,1,127.9459152,"강원도 원주시 남산로48번길 7, (원동)",37.3427315,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 264-4,15-Jan,30,1,127.9461823,"강원도 원주시 다박골길 19, (원동)",37.3443146,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 원인동 197-178,15-Jan,30,1,127.9498444,,37.3438835,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 229-7,15-Jan,30,1,127.9398956,"강원도 원주시 천사로 134, (일산동)",37.3485832,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 학성동 241-1,13-Nov,30,1,127.9413757,"강원도 원주시 옛시청길 28, (학성동)",37.3515205,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 341-180,15-Jan,30,1,127.9408951,"강원도 원주시 남산로 101, (일산동)",37.3462296,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장1동 753-4,15-Jan,30,1,127.95755,"강원도 원주시 육판길 12, (태장동)",37.3559837,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1375,15-Jan,30,1,127.9516907,"강원도 원주시 북원로2704번길 50, (태장동)",37.3845596,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 태장2동 1385-6,15-Jan,30,1,127.9478378,"강원도 원주시 북원로2680번길 9, (태장동)",37.3824234,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 판부면 서곡리 1999-7,15-Jan,30,1,127.9451447,"강원도 원주시 판부면 매봉길 43, (서곡리)",37.3208885,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 학성동 973-24,15-Jan,30,1,127.9396057,"강원도 원주시 송계1길 22, (학성동)",37.3582573,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 학성동 303-2,15-Jan,30,1,127.9452057,"강원도 원주시 충정길 55, (학성동)",37.3553429,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 흥업면 흥업리 65-15,13-Jun,30,1,127.9201126,"강원도 원주시 흥업면 남원로 76, (흥업리)",37.3028221,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 901-69,15-Jan,30,1,127.9601898,"강원도 원주시 우물시장길 27, (봉산동)",37.3453598,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 우산동 704-1,17-Dec,30,1,127.921463,,37.3874969,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 중앙동 60-13,15-Jan,30,1,127.9485931,"강원도 원주시 원일로 114, (중앙동)",37.3500061,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 250,15-Jan,30,1,127.9397354,"강원도 원주시 동진골2길 24, (일산동)",37.3510208,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1534-10,15-Jan,30,1,127.9408569,"강원도 원주시 천매봉길 69, (단구동)",37.323555,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 무실동 1656-6,17-Nov,30,1,127.9232864,"강원도 원주시 섬밭들2길 12-5, (무실동)",37.3336296,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 908-10,17-Nov,30,1,127.9345474,"강원도 원주시 이화1길 38, (단계동)",37.3406754,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 778-22,11-Jun,30,1,127.9354706,"강원도 원주시 소삼터길 41, (단계동)",37.3475494,생활방범,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 개운동 446-3,17-Nov,30,1,127.9521637,"강원도 원주시 송림길 48-22, (개운동)",37.3313408,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 440-10,17-Nov,30,1,127.9507599,"강원도 원주시 송림길 25, (개운동)",37.333416,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 봉산동 1060-18,17-Dec,30,1,127.9572449,"강원도 원주시 봉산1길 15, (봉산동)",37.3513031,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 68-9,17-Dec,30,1,127.9360275,강원도 원주시 원문로100번길 68,37.3622017,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 199-6,17-Dec,30,1,127.9598236,"강원도 원주시 개운로 94, (개운동)",37.3393745,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 무실동 1720-2,17-Dec,30,1,127.9211549,"강원도 원주시 시청로 2, (무실동)",37.3411713,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 문막읍 동화리 1681-1,15-Jan,30,1,127.8418655,강원도 원주시 동화공단로 77,37.3334274,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 개운동 203-11,11-Sep,30,1,127.9619675,"강원도 원주시 개운로 116, (개운동)",37.3395004,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 388,11-Sep,30,1,127.9421539,"강원도 원주시 남원로527번길 82-9, (명륜동)",37.3352089,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 명륜2동 764-2,11-Sep,30,1,127.9401398,"강원도 원주시 한지공원길 94-23, (명륜동)",37.334343,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1464-12,11-Sep,30,1,127.9519348,"강원도 원주시 서원대로 415-11, (단구동)",37.330143,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1529-1,11-Sep,30,1,127.9426193,"강원도 원주시 남원로442번길 13-2, (단구동)",37.3247528,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1556-1,11-Sep,30,1,127.944191,"강원도 원주시 남원로442번길 40, (단구동)",37.3239365,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1540-6,11-Sep,30,1,127.9417648,"강원도 원주시 천매봉길 50-9, (단구동)",37.3233185,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1610-3,11-Sep,30,1,127.9557877,"강원도 원주시 단구로 354-23, (단구동)",37.3252945,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1679,12-Jun,30,1,127.9556274,"강원도 원주시 단구로 398, (단구동, 구곡청솔3차아파트)",37.3204651,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1644-1,11-Sep,30,1,127.9595108,"강원도 원주시 토지길 83, (단구동)",37.3216667,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 단구동 1620-5,12-Jun,30,1,127.9591141,"강원도 원주시 토지길 1, (단구동)",37.3220215,기타,360도 회전,2018-07-27,130,033-737-5146
강원도 원주시청,강원도 원주시 일산동 184-1,11-Sep,30,1,127.9448242,"강원도 원주시 옛시청길 11, (일산동)",37.3525543,기타,360도 회전,2018-07-27,130,033-737-5146
